,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,mean_vel,method,data,lookBack,maxCost,sigAcc,sigMeas,sigPos
7,0.96982623828125,0.96982623828125,48494,0.0,1506.0,0.96988,50,0,0,1.0,923.08,0.88,861.0689655172414,50,1,imm2,rnr,1,190,15.0,15.0,10.0
8,0.9871400673828125,0.9871400673828125,49358,0.0,642.0,0.98716,50,0,0,1.0,930.4,0.92,891.8571428571429,50,1,imm2,rnr,1,190,15.0,15.0,10.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,190,15.0,15.0,10.0
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,90,40.0,15.0,90.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm2,rnr,1,90,40.0,15.0,90.0
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,imm2,rnr,1,90,40.0,15.0,90.0
3,0.9999665908241272,0.9999665908241272,50000,0.0,0.0,1.0,50,0,0,1.0,984.04,0.96,924.925925925926,50,1,imm2,rnr,1,90,40.0,15.0,90.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm2,rnr,1,90,40.0,15.0,90.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm2,rnr,1,90,40.0,15.0,90.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,90,40.0,15.0,90.0
7,0.97963156640625,0.97963156640625,48988,0.0,1012.0,0.97976,50,0,0,1.0,873.88,0.84,805.4516129032259,50,1,imm2,rnr,1,90,40.0,15.0,90.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm2,rnr,1,90,40.0,15.0,90.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,90,40.0,15.0,90.0
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,90,90.0,10.0,90.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm2,rnr,1,90,90.0,10.0,90.0
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,imm2,rnr,1,90,90.0,10.0,90.0
3,0.9999665908241272,0.9999665908241272,50000,0.0,0.0,1.0,50,0,0,1.0,984.04,0.96,924.925925925926,50,1,imm2,rnr,1,90,90.0,10.0,90.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm2,rnr,1,90,90.0,10.0,90.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm2,rnr,1,90,90.0,10.0,90.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,90,90.0,10.0,90.0
7,0.985003419921875,0.985003419921875,49254,0.0,746.0,0.98508,50,0,0,1.0,908.48,0.88,832.3333333333334,50,1,imm2,rnr,1,90,90.0,10.0,90.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm2,rnr,1,90,90.0,10.0,90.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,90,90.0,10.0,90.0
0,0.9999864407987594,0.9999864407987594,50000,0.0,0.0,1.0,50,0,0,1.0,994.84,0.96,924.925925925926,50,1,imm2,rnr,1,190,40.0,10.0,10.0
1,0.9944,0.9944,49720,0.0,280.0,0.9944,50,0,0,1.0,964.6,0.96,960.5384615384615,50,1,imm2,rnr,1,190,40.0,10.0,10.0
2,0.98955303125,0.98955303125,49478,0.0,522.0,0.98956,50,0,0,1.0,953.16,0.92,924.925925925926,50,1,imm2,rnr,1,190,40.0,10.0,10.0
3,0.9999665908241272,0.9999665908241272,50000,0.0,0.0,1.0,50,0,0,1.0,984.04,0.96,924.925925925926,50,1,imm2,rnr,1,190,40.0,10.0,10.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm2,rnr,1,190,40.0,10.0,10.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm2,rnr,1,190,40.0,10.0,10.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,190,40.0,10.0,10.0
7,0.97959156640625,0.97959156640625,48986,0.0,1014.0,0.97972,50,0,0,1.0,860.02,0.82,756.5757575757576,50,1,imm2,rnr,1,190,40.0,10.0,10.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm2,rnr,1,190,40.0,10.0,10.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,190,40.0,10.0,10.0
0,0.9766,0.9766,48830,0.0,1170.0,0.9766,50,0,0,1.0,842.0,0.82,832.3333333333334,50,3,imm2,rnr,1,50,15.0,5.0,90.0
1,0.9676110390625,0.9676110390625,48386,0.0,1614.0,0.96772,50,0,0,1.0,834.22,0.78,805.4516129032259,50,3,imm2,rnr,1,50,15.0,5.0,90.0
2,0.99068,0.99068,49534,0.0,466.0,0.99068,50,0,0,1.0,809.48,0.8,780.25,50,3,imm2,rnr,1,50,15.0,5.0,90.0
3,0.97328,0.97328,48664,0.0,1336.0,0.97328,50,0,0,1.0,852.46,0.78,805.4516129032259,50,3,imm2,rnr,1,50,15.0,5.0,90.0
4,0.97812,0.97812,48906,0.0,1094.0,0.97812,50,0,0,1.0,802.76,0.74,756.5757575757576,50,3,imm2,rnr,1,50,15.0,5.0,90.0
5,0.98348,0.98348,49174,0.0,826.0,0.98348,50,0,0,1.0,895.52,0.88,891.8571428571429,50,3,imm2,rnr,1,50,15.0,5.0,90.0
6,0.980354080078125,0.980354080078125,49028,0.0,972.0,0.98056,50,0,0,1.0,838.7,0.82,832.3333333333334,50,3,imm2,rnr,1,50,15.0,5.0,90.0
7,0.9724,0.9533333333333334,48620,343.0,1380.0,0.965774784975071,50,0,1,0.9803921568627451,768.5098039215686,0.7254901960784313,768.2307692307693,50,3,imm2,rnr,1,50,15.0,5.0,90.0
8,0.98264,0.98264,49132,0.0,868.0,0.98264,50,0,0,1.0,816.36,0.8,832.3333333333334,50,3,imm2,rnr,1,50,15.0,5.0,90.0
9,0.99168,0.99168,49584,0.0,416.0,0.99168,50,0,0,1.0,927.32,0.92,924.925925925926,50,3,imm2,rnr,1,50,15.0,5.0,90.0
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,90,90.0,15.0,90.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm2,rnr,1,90,90.0,15.0,90.0
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,imm2,rnr,1,90,90.0,15.0,90.0
