,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,diff_con,method,data,lookBack,maxCost,sigP,sigMeas
0,0.991883810546875,0.9724351083792893,49599,379.0,401.0,0.9845173584231525,50,0,1,0.9803921568627451,977.3529411764706,0.9215686274509803,846.457627118644,50,3,KF,RW,1,30,30.0,5.0
1,0.9943281298828125,0.9748314998851103,49725,187.0,275.0,0.9907944288361528,50,0,1,0.9803921568627451,950.6470588235294,0.8823529411764706,876.1929824561404,50,3,KF,RW,1,30,30.0,5.0
2,0.977604623046875,0.977604623046875,48882,0.0,1118.0,0.97764,50,0,0,1.0,944.92,0.92,924.925925925926,50,3,KF,RW,1,30,30.0,5.0
3,0.9489161640625,0.9489161640625,47470,0.0,2530.0,0.9494,50,0,0,1.0,947.68,0.84,861.0689655172414,50,3,KF,RW,1,30,30.0,5.0
4,0.969522912109375,0.969522912109375,48502,0.0,1498.0,0.97004,50,0,0,1.0,865.64,0.8,713.2857142857143,50,3,KF,RW,1,30,30.0,5.0
5,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,3,KF,RW,1,30,30.0,5.0
6,0.976028212890625,0.976028212890625,48808,0.0,1192.0,0.97616,50,0,0,1.0,863.44,0.84,832.3333333333334,50,3,KF,RW,1,30,30.0,5.0
7,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,3,KF,RW,1,30,30.0,5.0
8,0.9809958203125,0.9617606081495098,49055,297.0,945.0,0.9753066783307156,50,0,1,0.9803921568627451,943.3725490196078,0.8627450980392157,818.672131147541,50,3,KF,RW,1,30,30.0,5.0
9,0.9729172265625,0.9729172265625,48669,0.0,1331.0,0.97338,50,0,0,1.0,911.62,0.88,693.4444444444445,50,3,KF,RW,1,30,30.0,5.0
0,0.991883810546875,0.9724351083792893,49599,379.0,401.0,0.9845173584231525,50,0,1,0.9803921568627451,977.3529411764706,0.9215686274509803,846.457627118644,50,3,KF,RW,1,30,15.0,10.0
1,0.9940481298828125,0.9745569900811887,49711,187.0,289.0,0.990515472134218,50,0,1,0.9803921568627451,911.7058823529412,0.8431372549019608,846.457627118644,50,3,KF,RW,1,30,15.0,10.0
2,0.977604623046875,0.977604623046875,48882,0.0,1118.0,0.97764,50,0,0,1.0,944.92,0.92,924.925925925926,50,3,KF,RW,1,30,15.0,10.0
3,0.9553649375,0.9553649375,47772,0.0,2228.0,0.95544,50,0,0,1.0,947.6,0.84,832.3333333333334,50,3,KF,RW,1,30,15.0,10.0
4,0.9764127578125,0.9764127578125,48832,0.0,1168.0,0.97664,50,0,0,1.0,865.64,0.8,713.2857142857143,50,3,KF,RW,1,30,15.0,10.0
5,0.9900155634765625,0.9900155634765625,49504,0.0,496.0,0.99008,50,0,0,1.0,969.0,0.96,960.5384615384615,50,3,KF,RW,1,30,15.0,10.0
6,0.976028212890625,0.976028212890625,48808,0.0,1192.0,0.97616,50,0,0,1.0,863.44,0.84,832.3333333333334,50,3,KF,RW,1,30,15.0,10.0
7,0.9989064616699219,0.9989064616699219,49946,0.0,54.0,0.99892,50,0,0,1.0,960.12,0.96,960.5384615384615,50,3,KF,RW,1,30,15.0,10.0
8,0.9809958203125,0.9617606081495098,49055,297.0,945.0,0.9753066783307156,50,0,1,0.9803921568627451,943.3725490196078,0.8627450980392157,818.672131147541,50,3,KF,RW,1,30,15.0,10.0
9,0.9578845,0.9578845,47915,0.0,2085.0,0.9583,50,0,0,1.0,911.66,0.88,713.2857142857143,50,3,KF,RW,1,30,15.0,10.0
0,0.972846734375,0.972846734375,48648,0.0,1352.0,0.97296,50,0,0,1.0,958.0,0.94,861.0689655172414,50,5,KF,RW,1,30,30.0,3.0
1,0.96646178515625,0.8948720232928241,48337,665.0,1663.0,0.9540511201026349,50,0,4,0.9259259259259259,867.4074074074074,0.7777777777777778,805.4516129032259,50,5,KF,RW,1,30,30.0,3.0
2,0.9213387265625,0.7807955309851695,46099,2511.0,3901.0,0.8778922511473787,50,0,9,0.847457627118644,773.1355932203389,0.576271186440678,703.2253521126761,50,5,KF,RW,1,30,30.0,3.0
