,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,mean_vel,method,data,lookBack,maxCost
5,0.9794223671875,0.9794223671875,48974,0.0,1026.0,0.97948,50,0,0,1.0,859.64,0.84,861.0689655172414,50,3,naive,rnr,1,200
6,0.987864052734375,0.987864052734375,49394,0.0,606.0,0.98788,50,0,0,1.0,831.14,0.82,832.3333333333334,50,3,naive,rnr,1,200
7,0.97926,0.97926,48963,0.0,1037.0,0.97926,50,0,0,1.0,783.9,0.76,780.25,50,3,naive,rnr,1,200
8,0.98264,0.98264,49132,0.0,868.0,0.98264,50,0,0,1.0,816.36,0.8,832.3333333333334,50,3,naive,rnr,1,200
9,0.98924,0.98924,49462,0.0,538.0,0.98924,50,0,0,1.0,889.76,0.88,891.8571428571429,50,3,naive,rnr,1,200
0,0.9766,0.9766,48830,0.0,1170.0,0.9766,50,0,0,1.0,842.0,0.82,832.3333333333334,50,3,naive,rnr,1,120
1,0.9682510390625,0.9682510390625,48418,0.0,1582.0,0.96836,50,0,0,1.0,873.58,0.82,832.3333333333334,50,3,naive,rnr,1,120
2,0.9895889296875,0.9895889296875,49480,0.0,520.0,0.9896,50,0,0,1.0,849.44,0.84,861.0689655172414,50,3,naive,rnr,1,120
3,0.97328,0.97328,48664,0.0,1336.0,0.97328,50,0,0,1.0,852.46,0.78,805.4516129032259,50,3,naive,rnr,1,120
4,0.9788,0.9788,48940,0.0,1060.0,0.9788,50,0,0,1.0,901.9,0.86,832.3333333333334,50,3,naive,rnr,1,120
5,0.9794223671875,0.9794223671875,48974,0.0,1026.0,0.97948,50,0,0,1.0,859.64,0.84,861.0689655172414,50,3,naive,rnr,1,120
6,0.987864052734375,0.987864052734375,49394,0.0,606.0,0.98788,50,0,0,1.0,831.14,0.82,832.3333333333334,50,3,naive,rnr,1,120
7,0.97926,0.97926,48963,0.0,1037.0,0.97926,50,0,0,1.0,783.9,0.76,780.25,50,3,naive,rnr,1,120
8,0.98264,0.98264,49132,0.0,868.0,0.98264,50,0,0,1.0,816.36,0.8,832.3333333333334,50,3,naive,rnr,1,120
9,0.98924,0.98924,49462,0.0,538.0,0.98924,50,0,0,1.0,889.76,0.88,891.8571428571429,50,3,naive,rnr,1,120
0,0.95994,0.95994,47997,0.0,2003.0,0.95994,50,0,0,1.0,528.6,0.5,624.0,50,7,naive,rnr,1,200
1,0.9781,0.9781,48905,0.0,1095.0,0.9781,50,0,0,1.0,672.98,0.66,665.6666666666666,50,7,naive,rnr,1,200
2,0.93986,0.93986,46993,0.0,3007.0,0.93986,50,0,0,1.0,629.32,0.56,608.7560975609756,50,7,naive,rnr,1,200
3,0.97186,0.97186,48593,0.0,1407.0,0.97186,50,0,0,1.0,638.58,0.62,665.6666666666666,50,7,naive,rnr,1,200
4,0.92146,0.92146,46073,0.0,3927.0,0.92146,50,0,0,1.0,679.12,0.58,608.7560975609756,50,7,naive,rnr,1,200
5,0.95214,0.95214,47607,0.0,2393.0,0.95214,50,0,0,1.0,564.82,0.52,640.025641025641,50,7,naive,rnr,1,200
6,0.95574,0.95574,47787,0.0,2213.0,0.95574,50,0,0,1.0,631.02,0.58,640.025641025641,50,7,naive,rnr,1,200
7,0.9696,0.9696,48480,0.0,1520.0,0.9696,50,0,0,1.0,690.48,0.66,693.4444444444445,50,7,naive,rnr,1,200
8,0.97208,0.97208,48604,0.0,1396.0,0.97208,50,0,0,1.0,671.08,0.64,734.2941176470588,50,7,naive,rnr,1,200
9,0.94588,0.94588,47294,0.0,2706.0,0.94588,50,0,0,1.0,524.52,0.48,554.5555555555555,50,7,naive,rnr,1,200
0,0.9513199999999999,0.95132,47566,0.0,2434.0,0.95132,50,0,0,1.0,504.9,0.48,536.6344086021505,50,9,naive,rnr,1,200
1,0.94466,0.94466,47233,0.0,2767.0,0.94466,50,0,0,1.0,596.1,0.56,594.2380952380952,50,9,naive,rnr,1,200
2,0.95994,0.95994,47997,0.0,2003.0,0.95994,50,0,0,1.0,675.46,0.64,656.8947368421053,50,9,naive,rnr,1,200
3,0.959223140625,0.959223140625,47965,0.0,2035.0,0.9593,50,0,0,1.0,470.14,0.42,519.8333333333334,50,9,naive,rnr,1,200
4,0.9583112890625,0.9583112890625,47917,0.0,2083.0,0.95834,50,0,0,1.0,495.4,0.48,554.5555555555555,50,9,naive,rnr,1,200
5,0.93124,0.93124,46562,0.0,3438.0,0.93124,50,0,0,1.0,529.86,0.48,580.3953488372093,50,9,naive,rnr,1,200
6,0.9255,0.9255,46275,0.0,3725.0,0.9255,50,0,0,1.0,470.82,0.44,504.050505050505,50,9,naive,rnr,1,200
7,0.97792,0.97792,48896,0.0,1104.0,0.97792,50,0,0,1.0,696.72,0.68,648.3506493506494,50,9,naive,rnr,1,200
8,0.91574,0.91574,45787,0.0,4213.0,0.91574,50,0,0,1.0,419.42,0.34,530.9148936170212,50,9,naive,rnr,1,200
9,0.91504,0.91504,45752,0.0,4248.0,0.91504,50,0,0,1.0,455.74,0.36,484.43689320388347,50,9,naive,rnr,1,200
0,0.95994,0.95994,47997,0.0,2003.0,0.95994,50,0,0,1.0,528.6,0.5,624.0,50,7,naive,rnr,1,120
1,0.9781,0.9781,48905,0.0,1095.0,0.9781,50,0,0,1.0,672.98,0.66,665.6666666666666,50,7,naive,rnr,1,120
2,0.93986,0.93986,46993,0.0,3007.0,0.93986,50,0,0,1.0,629.32,0.56,608.7560975609756,50,7,naive,rnr,1,120
